Job-Title,skills,skills2,skills3,skills4,skills5,skills6,skills7,skills8
Sr. Data Scientist,Conceptual modelling, Natural Language Processing, Machine learning, Predictive modelling, Hypothesis testing. -experience working on building an AI Conversation Voice Chatbot, IT Skills, Python, Testing
Senior Data Scientist,Cloud computing, Simulation, Agile scrum, Contract management, Neural networks, Analytical, Machine learning, Predictive modeling
Digital-Senior Process Manager- Data Scientist SPM,data visualization tools, IT Skills, Python, Data Science, Project Management, Tableau, BPO, project management
Senior Data Scientist,IT Skills, Python, Data Science, Machine Learning, Artificial Intelligence, Cloud, Text mining, Cloud computing
Sr Data Scientist,Computer science, Administration, Logistic regression, SAS, Coding, MIS, Intellectual property, Financial services
Data Scientist,Unix, Operations research, SAS, Data management, Risk analytics, Project management, Data collection, Data mining
Data Scientist/ Analyst Specialist,Machine Learning, Python, SQL, R, Logistic Regression, Computer Science, Client Servicing, Data Analysis
Data Scientist (freelance),Data Scientist,,,,,,,
Data Scientist,Java, python, NLP, MySQL, Machine Learning, Deep Learning,,
Data Scientist,Data Science, Pyspark, Algorithms, Machine Learning, Deep Learning,,,
Rolls-Royce Data Labs : Data Scientist,Matplotlib, Azure, GIT, Linux, Docker, Pandas, Python,
Data Scientist,data science, CNN, LSTM, numpy, Machine Learning, Deep Learning, Pytorch, pandas
Staff Data Scientist,Product management, Data analysis, Image processing, Machine learning, Agile, Data quality, application architecture, SQL
Data Scientist,Hadoop, IT Skills, Data Science, Computer science, Operations research, Interpersonal skills, Risk analytics, SCALA
Data Scientist: Artificial Intelligence,Scheduling, big data, Unix shell scripting, SQL, Python, Automation, Interpersonal skills, Artificial Intelligence
Data Scientist: Artificial Intelligence,Scheduling, big data, Unix shell scripting, SQL, Python, Automation, Interpersonal skills, Artificial Intelligence
Staff Data Scientist,IT Skills, Data Science, Machine Learning, Big Data, Text mining, Computer vision, Publishing, Web analytics
Data Scientist,Health insurance, Data analysis, Statistical modeling, data science, Machine learning, SCALA, Programming, Information retrieval
Data Scientist / Machine learning Engineer- Python/NLP,machine learning, IT Skills, Data Science, python, nlp,,,
Senior/ Lead Data Scientist - Market Mix Modelling ( MMM),Data Scientist, Market Mix Modelling, IT Skills, Python, Data Science, Cloud, AWS, Digital Marketing
Data Scientist-Client Engineering,Consulting, Machine learning, Healthcare, Presales, Python, Automation, data science, Analytical
Sr. Data Scientist,python, machine learning, Artificial Intelligence,,,,,
Sr Data Scientist,Supply chain, Computer science, Data analysis, Simulation, Machine learning, Open source, Data mining, SQL
Senior Data Scientist -Python+ML(5-7 years),python, Web Framework, Machine Learning, tensorflow, Django, Neural Networks, flask, artificial intelligence
Hiring Senior Data Scientist - AI ( Remote) || Hanu,Data Science, Artificial Intelligence, azure, IT Skills, Python, Machine Learning, Cloud, Big Data
Senior Data Scientist,statistics, Supply chain, gcp, aws,,,,
Data Scientist Opportunity with PayU - Diversity Hiring,python, Django, pytorch, Text Mining, Predictive Analytics, Pattern Recognition, Natural Language Processing, Data Mining
Data Scientist 1,Data analysis, Sales operations, Consulting, Machine learning, Data mining, Operations, Analytics, Financial services
Data Scientist: Advanced Analytics,IVR, Enterprise applications, Open source, LEX, Python, AWS services, Dynamo DB, analytical
Data Scientist: Advanced Analytics,Interpersonal skills, Javascript, Open source, LEX, Python, advanced analytics, Architecture, Investigation
Data Scientist: Artificial Intelligence,Enterprise applications, Open source, AWS, Analytics, LEX, IT Skills, Automation testing, Artificial Intelligence
Data Scientist: Artificial Intelligence,IVR, Enterprise applications, Artificial Intelligence, Open source, Python, IT Skills, Java, AWS
Data Scientist,cloud, Hive, python, Hadoop, Big Data,,,
Associate Data Scientist,Economics, stats Graduate, Data scientist, Machine Learning Eng,,,,
Digital-Associate Process Manager - Data Scientist APM,Data Scientist, IT Skills, Project Management, BPO, project management, auditing, travel, story telling
Data Scientist,data science, Azure, NLP, Algorithms, Data Scientist, Cloud, AWS, Python
Data Scientist,data mining, -, R, Tableau, communication, SQL, C++, Python
Data Scientist,Data Analysis, analytics, Data modeling, IT Skills, Machine Learning, Tableau analytics, R, SQL
Data Scientist,SQL, Analytical, Python, Tableau, communication, data mining, Hadoop, R
Lead Data Scientist,Supply chain, Computer science, Data analysis, Simulation, Machine learning, Open source, Data mining, SQL
Lead Data Scientist,R, Python, SQL, Data Science, Data Manipulation, Artificial Intelligence, Linear Regression, Machine Learning
Data Scientist,python, IT Skills, Testing, Data Science, Cloud, AWS, Azure, Pytorch
Junior Data Scientist,data analysis, data mining, artificial neural networks, python, r, predictive modeling, segmentation, machine learning
Junior Data Scientist,Data Science, Hypothesis testing, Text mining, PowerBI, R, Tableau, GLM Algorithms, SQL
Assistant Manager/Manager/Senior Manager - Data Scientist,Machine Learning, Data Science, SAS, Data Scientist, Statistics, Analytics, SQL,
Data Scientist (freelance),IT Skills, Java, Python, Machine Learning, Javascript, Data Scientist,,
Data Scientist,Training, deep learning, Backend, Linux, Artificial Intelligence, Machine learning, Transformers, Deployment
Data Scientist,python, sql, Hadoop Administration, Hive, Periscope, Spark, Machine Learning,
Data Scientist II,AWS services, Data Science, NLP, Neural Networks, Data Analysis, Data Mining, Machine Learning, Deep Learning
Python Developer(Data Scientist),Java, R, Python, IT Skills, Software Development, Testing, Quality Assurance, Javascript
Data Scientist,Data Scientist, Data Science, Scipy, Pandas, Scikit-learn, Numpy, programming, implementation skills
Data Scientist,algorithms, Natural Language Processing, Deep Learning, IT Skills, Java, Python, Data Science, Tableau
Mid Level Data Scientist,data science, Machine learning, Cloud, Open source, Python, IT Skills, Software Development, Testing
Data Scientist,Software design, Machine learning, Open source, SQL, Python, Analytical skills, Analytical, Artificial Intelligence
Data Scientist - Experienced/fresher | Kolkata,Logistic Regression, MySQL, Natural Language Processing, Time Series, Python, sql, SQL queries, machine learning
Data Scientist,deep learning, python, data science, machine learning, SQL, Communication Skills, artificial intelligence,
Service Delivery _ OSS _ Data Scientist,Bidding, Data management, PHP, Google AdWords, HTML, microsoft, Data mining, Statistics
Urgent Opening For Senior Data Scientist Role (Pune),Data Science, Artificial Intelligence, Machine Learning, IT Skills, Python, Predictive Modeling, Natural Language Processing,
Senior Data Scientist,Computer science, Automation, github, data science, Machine learning, Venture capital, Programming, Analytics
Sr . Data Scientist / Data Scientist,IT Skills, Machine Learning, SAN, Statistical analysis, French, big data analytics, OOPS, Data structures
Sr NLP & Text Mining Data Scientist,Business Intelligence, IT Skills, Python, Testing, Credentialing, Medicare, Feedback, US Healthcare
"Data Scientist/ Machine Learning, 2022 Passout Can also apply",python, Machine Learning, Data Scientist, IT Skills, PHP, Artificial Intelligence, software testing, freshers
Senior Data Scientist,IT Skills, Python, Data Science, Machine Learning, Cloud, DevOps, Azure, SAN
Senior Data Scientist,Relationship management, Mining, Computer science, Data management, Pharma, Consulting, Workflow, Data quality
Data Scientist 1,Unix, Operations research, SAS, Data management, Risk analytics, Project management, Data collection, Data mining
Data Scientist,Predictive Modeling, Business Intelligence, Power Bi, Business Analytics, SAS, Qlik Sense, Scripting Languages, Data Mining
Data Scientist (Risk / Fraud Experience is must),Pyspark, Fraud Modelling, Risk, Data Scientist, Python, SAS, predictive analytics, Big Data
"Specialist, Data Scientist",Training, advanced analytics, data science, Programming, Representative, Management, Financial services, Analytics
"Data Scientist, Enablement",Data analysis, Production engineering, Machine learning, Salesforce.com, Open source, Analytics, SQL, Python
"Data Scientist, Product Analytics",Computer science, Product engineering, data science, Project management, Consulting, Machine learning, Engineering Design, Financial services
Data Scientist,remediation, Data analysis, Project management, Analytical, Back office, linear regression, Analytics, Financial services
Data Scientist 1,Computer science, Statistical programming, Data modeling, Analytical, Machine learning, QlikView, Business intelligence, Financial services
Data Scientist,Natural Language, Hive, NLP, Vision, Hyperparameter tuning, Data Wrangling, Machine learning, TensorFlow
Sr. Associate - Data scientist -Affine.Ai,Logistic Regression, R programming, Python, Machine Learning, Statistical Modeling, analytical, advanced statistics, SQL
Sr. Associate - Data scientist -Affine.Ai,advanced statistics, Python, analytical, Statistical Modeling, R programming, Machine Learning, Logistic Regression, IT Skills
Junior Data Scientist,Data Science, Tensorflow, NoSQL, Data Management, Statistical Modeling, Data Analysis, Machine Learning, Deep Learning
Manager - Data Scientist - Analytics,data analytics, Data Scientist, Machine Learning, Data analysis, python, SAS, data engineering, SQL
Need immediate joiners - Data Scientist,data scientist, Data modeling, analytics, IT Skills, Cloud, R, Tableau, machine learning
Lead Data Scientist - CPG/BFSI/Healthcare Domain,end-to-end, EDA, visualizations, insights, monitoring, modelling, problem scoping, R
Data Scientist - Machine Learning,Machine Learning, Predictive modeling, MongoDB, Spark, Python, Deep Learning stack, NLP, Hadoop
Data Analyst/data Scientist - C++/c#/java,software development, Data Mining, Machine Learning, Java, C#, Hadoop, communication, C++
Data Analyst / Data Scientist - C++/c#/java,C#, Java, architecting, C++, software development, Data Scientist, Hadoop, Data Analysis
Data Analyst/ Data Scientist - C++/c#/java,Java, software development, Machine Learning, C++, Hadoop, Data Mining, communication, algorithms
Senior AI Scientist - SAP Procurement Data Science Team,Python, IT Skills, Java, Data Science, Machine Learning, Cloud, SAP, Procurement
Data Scientist,computer vision, Machine Learning, Deep Learning, PowerPoint, VoTT, Git, CUDA, Keras
Data Scientist - Internet Jobs - II,Data Science, Data Analysis, NLP, Neural Networks, Data Mining, Machine Learning, AWS, Deep Learning
Data Scientist,Data science, Tableau, Python, SQL, Data scientist, Data Visualization,,
Data Scientist,Big Data, Machine Learning, Python, IT Skills, Data Science, Cloud, AWS, Azure
Data Scientist,Data Science, Natural Language Processing, Big Data, Python, IT Skills, Cassandra, Kafka, MongoDB
Data Scientist,Data Science, Python, Opencv, Scipy, NLTK, Numpy, Tensorflow, Pytorch
Jr. Data Scientist,R, Alteryx, Statistics, SQL, Python,,,
Senior Data Scientist,Data Science, IT Skills, Python, Testing, Machine Learning, Cloud, AWS, Tableau
Senior Data Scientist - Global Product Organisation.,advanced analytics, data science, machine learning, Python,,,,
Data Scientist,Tensorflow, Python, Caffe, MxNET, Keras, written communication, PyTorch, Agile
Data Scientist,Azure Machine Learning, Pandas, KNN, Regression, Azure ML, Matplotlib, Data science, Machine Learning
Data Scientist,Data Scientist, Machine Learning, Python,,,,,
Data Scientist,Python, Neural Networks, Regression Analysis, Pytorch, R, Scikit, Bayesian Networks, K - means
Data Scientist | Zipcar,Machine Learning,,,,,,,
Data Scientist,AWS, Lambda, Cloud formation, ETL, R Programming, Python, API Gateway, Azure DevOps
Data Scientist: Artificial Intelligence,Computer science, Enterprise applications, Open source, Analytics, SQL, Computer languages, Simulation, Debugging
Data Scientist,Unix, VMware, Networking, Virtualization, SQL, IT Skills, Python, Machine Learning
Data Scientist,CNN, deep AI, Python, keras, tensorflow, machine learning, LSTM, NLP
Principal Data Scientist,IT Skills, Python, Testing, Cloud, Big Data, AWS, Tableau, Computer vision
Data Scientist/Machine Learning Specialist,machine learning, Python, tensorflow, Artificial Intelligence, Natural Language Processing, Neural Networks,,
Data Scientist - Python/Machine Learning,Python, R, Statistical Analysis, Data Analytics, CICD, Net Core, Machine learning, DevOps
Lead Data Scientist - Deep Learning/machine Learning,data management, Cluster analysis, PyTorch, Mining, analytical, R, Theano, Logistic Regression
Data Scientist,machine learning, predictive modelling, IT Skills, Bayesian, Decision Trees, Clustering, Statistics, Random Forest
Data Scientist,data science, statistical modeling, problem solving, IT Skills, Strategic Thinking,,,
Data Scientist,Spark, Apache Kafka, Hive, Python, Pig, Impala, Scala, data analysis
Data Scientist | Product based MNC | Pune/ Kolkata,deep learning, python, machine learning, written communication, verbal, Pyspark, IT Skills, time series analysis
Data Scientist,nlp, pyspark, machine learning, IT Skills, Data Science, Cloud, AWS, Azure
Data Scientist,data science, IT Skills, Machine Learning, Quantitative Analysis, data analysis, data mining, predictive modeling, statistical modeling
Data Scientist | Petpooja (SAAS) | Ahmedabad,Deep Learning, data analysis, Machine Learning, artificial intelligence, data science, Computer Vision, MongoDB, MySQL
Data Scientist,python, R Program, Data Visualization, data analysis, analytical, R, RDBMS, data mining
Data Scientist,Machine Learning, IT Skills, Data Science, Cloud, AWS, Azure, NLP, PySpark
Data Scientist,data analytics, Data Science, R, Data Scientist, predictive modeling, Data Management, Data Modeling, Machine Learning
Virtue Analytics - Data Scientist,Data Scientist, data management, modeling, data analytics, Project Management, problem-solving, communication skills,
Data Scientist,data analytics, Data Science, Data Management, Data Modeling, Machine Learning, Analytics,,
Data Scientist,Data scientist,,,,,,,
Data scientists,Product management, Logistic regression, data science, Analytical, Machine learning, Agile, MongoDB, Customer engagement
Data Scientist,IT Skills, Python, Data Science, Cloud, Big Data, AWS, Tableau, Backend
Data Scientist,IT Skills, Java, Python, Software Development, Testing, Machine Learning, Javascript, Text mining
Associate Scientist - Semantic & Data Modeling,Process optimization, Data management, Data modeling, Project management, Analytical, Build management, Risk management, Release management
Urgent Opening For Senior Data Scientist Role,Data Science, Artificial Intelligence, Machine Learning, Python, IT Skills, Use Cases,,
Associate Scientist - Data Engineering,Automation, Analytical, Machine learning, Assistant Vice President Operations, Warehouse design, SQL development, Data warehousing, Python
Data Scientist (freelance),IT Skills, Java, Python, Machine Learning, Javascript, Data Scientist,,
Data Scientist,image processing, python, machine learning, Deep Learning,,,,
AI Scientist - SAP Procurement Data Science Team,Python, Procurement, Computer science, Software design, SAP, Coding, Agile, Data mining
Data Scientist,python, Natural Language Processing, machine learning, IT Skills, Java, J2EE, Software Development, Testing
Data Scientist,SAS model development, Python, IT Skills, Python skills, SAS model,,,
Data Scientist,Azure, IT Skills, building DS solutions, Microsoft,,,,
Clinical Data Programming Scientist,EDC, Consulting, Clinical research, Life sciences, Pharmacovigilance, Data validation, Project initiation, Clinical trials
data scientist,excel,524, power bi, sql,,,,
Data Scientist,python, C++, r, machine learning, programming, analytical, C, analytics
Hiring For Data Science /Scientist,deep learning, python, data science, SAS, analytical, R, PySpark, Hive
Manager - Data Scientist - Analytics,SAS, Predictive Modeling, Data Science, NLP, Data Scientist, Statistical Modeling, Data Analytics, Machine Learning
Data Scientist - Financial Services,MySQL, Power BI, Tableau, Machine Learning, Statistics, Analytics, SQL, Data Science
Data Scientist - Artificial Intelligence/Machine Learning,NoSQL, SQL Server, LSTM, LDA, Cassandra, Semantic Hashing, MongoDB, HTML Canvas
Data Scientist,Python, Java, C/C++, R, Statistical analysis, Big Data, Data Visualization, Machine Learning
Data Scientist,data science, Computer science, Machine learning, Natural language processing, Data mining, Business solutions, MATLAB, Analytics
Data Scientist,Data Services, Automation, Prototype, Analytical, Formulation, Business Process, Operations Research, Consulting
Data Scientist,Unix, semiconductor, JMP, analyzing data, statistical analysis, Multivariate Analysis, Statistical Programming, Statistics
Intern - Data Scientist/Programmer,Data Structures And Algorithm Design, SQL Database, Python, Tensor flow, Open CV, IT Skills, Springboot Java, Angular JS
Scientist- Data Engineering,Automation, data science, Information security, Finance, Machine learning, Open source, Virtualization, SQL
Data Scientist,Data Science, Machine Learning, Python,,,,,
Data Scientist (Organic Growth),Predictive Modeling, Hypothesis Testing, SEO, ASO, Philosophy, Python, SQL,
Data Scientist - SQL Queries | Talent500,Data Science, SQL,,,,,,
Data Scientist- python/SQL,Logistic regression, Basic, Machine learning, SQL, Python,,,
Associate Scientist- Data Science,data science, Underwriting, Finance, Machine learning, Agile, Manager Technology, Actuarial, Natural language processing
DBCG IND - GAMMA Senior Data Scientist,Computer science, advanced analytics, SDS, data science, Artificial Intelligence, Project management, Machine learning, Management consulting
Data Science - Senior Data Scientist,Data Science, Business Intelligence, R, Data Scientist, C + +, Hadoop, Data Mining, Data Visualization
Senior Data Scientist (IN4),IT Skills, Python, Software Development, Testing, Data Science, Machine Learning, Cloud, Product management
Senior Data Scientist,IT Skills, Python, Data Science, Machine Learning, Big Data, Supply chain, Data analysis, Web analytics
Sr. Data Scientist,Data analysis, SAP, SAS, Data modeling, RDBMS, Coding, Javascript, Agile
Sr. Data Scientist,Procurement, Supply chain, C++, Data analysis, Networking, Data management, Data modeling, MySQL
Senior Data Scientist,deep learning, Statistical analysis, data science, Machine learning, Product planning, Predictive modeling, Research, Forecasting
Sr Data Scientist,Computer science, Interpersonal skills, Project management, Technical Lead, Actuarial, data visualization, Bioinformatics, Analytics
Senior Data Scientist,Unix, Supply chain, Linux, Machine learning, SCALA, Agile, Data mining, Forecasting
Senior Data Scientist,Open Source, Algorithms, Data Scientist, Neural Networks, Keras, Solid Programming, Machine Learning, Python
Senior Data Scientist,Procurement, Computer science, Cloud computing, Data analysis, data science, Db2, Coding, Agile
Senior Data Scientist,Bidding, Google Analytics, Data management, Social networking, Google AdWords, PHP, HTML, HTTP
Senior Data Scientist Grade12,data science, E-commerce, Statistics,,,,,
Senior Data Scientist I,Operations research, Excel, Machine learning, Vice President, Mathematics, Management, Business intelligence, Operations
Senior Staff Data Scientist,Product management, Publishing, Simulation, Machine learning, SCALA, Open source, SQL, Python
Sr. Product Data Scientist,Microstrategy, Computer science, Mobile technology, Web analytics, Data modeling, Social media, Javascript, Data mining
Senior - Data Scientist,Computer science, Mobile technology, Network design, Data modeling, MySQL, Consulting, Machine learning, Data mining
Sr. Data Scientist,Computer science, Customer acquisition, Business analytics, Analytical, Consulting, Customer retention, Informatica, Operations
Data & Applied Scientist,IT Skills, Python, Data Science, Machine Learning, Cloud, Big Data, Supply chain, Computer science
Clinical Data Programming Scientist,EDC, Consulting, Clinical research, Life sciences, Pharmacovigilance, Data validation, Clinical trials, Bioinformatics
Data Scientist / Sr. Data Engineer,IT Skills, Python, Data Science, Machine Learning, Tensorflow, Scipy, ALGORITHM, SVM
GAMMA Lead Data Scientist,Data analysis, Operations research, data science, Data management, Business analytics, Consulting, Management consulting, Business strategy
Lead Data Scientist,advanced analytics, spark, Machine learning, power bi, Data analytics, data visualization, Predictive analytics, Business operations
Lead Data Scientist,Data Science, Python, Mechine Learning, NLP, AI,,,
Lead Data Scientist,data science, Machine learning, Consulting, Manager Technology, Mentor, Deployment, Investment banking, Research
Lead Data Scientist,Supply chain, Computer science, Automation, Coding, Analytical, Machine learning, Data mining, Robotics
Lead Data Scientist,IT services, Computer science, NoSQL, Machine learning, Schema, Signal processing, Natural language processing, Customer engagement
Senior Data Scientist,GCP, Analytical, Machine learning, SMS, Agile, Open source, Monitoring, SQL
Senior Data Scientist,Product engineering, Talent acquisition, Neural networks, spark, Analytical, Machine learning, Open source, SQL
Data Scientist / Data Analyst,Computer science, SAS, Consulting, Data Analyst, Perl, Business solutions, Ruby, Performance improvement
Senior Data Scientist,Team management, Prototype, data science, Analytical, Machine learning, Agile, Customer engagement, Statistics
Senior Data Scientist,Unix, Product management, Computer science, Operations research, Simulation, Machine learning, Distribution system, Forecasting
Senior Data Scientist,SAS, Social media, Analytical, Data collection, Predictive modeling, Data mining, Forecasting, Analytics
Senior Data Scientist - Data Platform,Quality improvement, GCP, Project management, Debugging, Cloud, Conceptualization, Subject Matter Expert, AWS
Data Scientist / Analyst,Data Analytics, Power - BI, Data Science, Big Data Technologies, communication, SQL, Python, Git
Senior Data Scientist,deep learning, Prototype, data science, Analytical, Finance, Machine learning, Customer engagement, Financial services
Senior Data Scientist,Mining, Version control, GIT, data science, Analytical, Shell scripting, Machine learning, data visualization
"Senior Data Scientist, Product Analytics",IT Skills, Python, Data Science, Tableau, Power BI, Service management, SAN, Instrumentation
Senior Data Scientist,Power BI, Python, Tableau, R, SQL, IT Skills, Data Science, Billing
"MNC Hiring For "" Data Scientist & cloud "" - Gurgaon & Chennai",machine learning, Cloud, Python, predictive modelling, Logistic Regression, Factor Analysis, Regression Analysis, market scenerio
AVP Data Scientist (credit and fraud risk models - BFSI),Data Science, Credit Risk Modelling, Fraud Risk Assessment, Big Data Analytics, python, Hadoop Spark, Machine Learning, Fraud Analytics
Data Scientist,data analysis, data science, machine learning, artificial intelligence, text analytics, Java, deep learning, python
Data Scientist,data scientist, Data Analysis, data forecasting, Data Mining, Data modelling,,,
Urgent Opening For Data Scientist For Big4 Company,R, Tableau, communication, modeling, C#, Python, Shiny, Java
Data Scientist,Data Science, Data Engineering, Big Data, Tableau, Data Analytics, Statistics, Scikit-Learn, Azure Devops
Immediate requirement For Data Scientist,object - oriented programming, unit testing, written communication, Python, OOP, SQL, PySpark, git
urgent requirement For data scientist,git, written communication, unit testing, object - oriented programming, OOP, PySpark, SQL, Python
Staff Engineer Data Scientist,Computer science, Text mining, Data analysis, Machine learning, Shell scripting, Oracle, Forecasting, IEEE
Data Scientist (freelance),Data Scientist,,,,,,,
Data Scientist (freelance),Data Scientist,,,,,,,
